Empirical_CDF,GEV_CDF,Sorted_Data_Value
0.0153846153846154,0.0107970208534142,-2.01966601995983
0.0307692307692308,0.0376249508285766,-1.63122104488967
0.0461538461538462,0.0423681068296614,-1.58833965979761
0.0615384615384615,0.0531833972035433,-1.5024646236164
0.0769230769230769,0.0843509390965551,-1.31028099396074
0.0923076923076923,0.108129494426206,-1.19449547815988
0.107692307692308,0.108597659376971,-1.19239076834378
0.123076923076923,0.111768663958946,-1.17828454099881
0.138461538461538,0.126559719193535,-1.11559895116938
0.153846153846154,0.13083348085135,-1.09833428174221
0.169230769230769,0.151568516973508,-1.01900756092599
0.184615384615385,0.168719997657811,-0.957995904919066
0.2,0.175270204448656,-0.935604248494883
0.215384615384615,0.191913449556585,-0.880637988509875
0.230769230769231,0.221772426891528,-0.78775478492404
0.246153846153846,0.222972312945323,-0.784151977723348
0.261538461538462,0.229821632445598,-0.763754337126004
0.276923076923077,0.262577255491275,-0.669681137552631
0.292307692307692,0.268457624928909,-0.65331787307444
0.307692307692308,0.27442373878554,-0.636857013065463
0.323076923076923,0.287095815114232,-0.602329537830317
0.338461538461538,0.290161283091708,-0.594059985930195
0.353846153846154,0.298260602786908,-0.57235454777706
0.369230769230769,0.339372500508351,-0.464886138880561
0.384615384615385,0.350218844162052,-0.437142600364711
0.4,0.366698821744109,-0.395359220822939
0.415384615384615,0.376587022355204,-0.370470204557915
0.430769230769231,0.392057792951096,-0.331750690976549
0.446153846153846,0.405122079178416,-0.299221151569401
0.461538461538462,0.429528198089526,-0.23872360119781
0.476923076923077,0.433091495315008,-0.229909535606471
0.492307692307692,0.447637704370685,-0.1939480587527
0.507692307692308,0.49557775120264,-0.0751463049856049
0.523076923076923,0.510741874228961,-0.037288724660877
0.538461538461538,0.511077034586104,-0.0364496350382751
0.553846153846154,0.539992600713814,0.0364235608607184
0.569230769230769,0.547283150071851,0.0549735275193556
0.584615384615385,0.590549472305945,0.16701473664965
0.6,0.612622692731664,0.225789967695379
0.615384615384615,0.619532108560911,0.244461294227729
0.630769230769231,0.650517113184753,0.330067778334495
0.646153846153846,0.664691316489556,0.370395648022817
0.661538461538462,0.674897821726133,0.399954528015043
0.676923076923077,0.681665161570168,0.419812359236449
0.692307692307692,0.710200562692985,0.506093006008095
0.707692307692308,0.7236310369542,0.548313827312276
0.723076923076923,0.780702809541903,0.742727653211225
0.738461538461539,0.809118111983754,0.851540879808754
0.753846153846154,0.825104369518249,0.9175245369977
0.769230769230769,0.82927345006785,0.935396599365795
0.784615384615385,0.838439101403831,0.975762608463339
0.8,0.842527911497981,0.994279198885639
0.815384615384615,0.845261828611189,1.00684656811258
0.830769230769231,0.851091547081691,1.03417039705378
0.846153846153846,0.85946600604933,1.07476602534583
0.861538461538462,0.887696431126259,1.22583090933456
0.876923076923077,0.923545254644972,1.46475931729158
0.892307692307692,0.923946948079016,1.46787522117357
0.907692307692308,0.932834898249092,1.54024940756958
0.923076923076923,0.93484649055982,1.55763378310501
0.938461538461538,0.941382536633586,1.61711720180983
0.953846153846154,0.943212896649576,1.63468503586639
0.969230769230769,0.979397010069523,2.13620094344973
0.984615384615385,0.98649393455123,2.31560684702903
